DailyQCReport_U0363_20260423_093322


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0363
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,581,0,0,2022.414,2.283102,445.3525
Violet,SSC,149,5,3.472222,2002.081,2.515081,12377.93
Blue,SSC-B,114,-5,-4.201681,1999.343,4.501991,11473.31
UV,UV1 (373),1161,2,0.1725626,307.17,6.997686,48.67475
UV,UV2 (388),244,1,0.4115226,2031.84,5.75381,452.1877
UV,UV3 (428),303,1,0.3311258,1549.625,5.346181,1655.819
UV,UV4 (443),478,4,0.8438818,1244.689,5.534977,1775.91
UV,UV5 (458),348,2,0.5780346,1206.673,5.269234,2825.463
UV,UV6 (473),325,5,1.5625,1540.794,5.156645,5348.335
UV,UV7 (514),407,8,2.005013,1702.58,5.223217,6409.943
UV,UV8 (542),321,8,2.555911,1046.109,5.104396,3531.567
UV,UV9 (582),413,13,3.25,1370.403,5.17991,4213.675
UV,UV10 (613),278,3,1.090909,1237.1,5.062155,4251.929
UV,UV11 (664),352,18,5.389221,586.1,5.18615,2210.293
UV,UV12 (692),263,8,3.137255,495.43,5.357009,1164.293
UV,UV13 (720),696,-4,-0.5714285,542.822,5.533868,1020.777
UV,UV14 (750),1126,-3,-0.2657219,655.649,6.026044,1463.613
UV,UV15 (780),667,-22,-3.193033,605.219,6.642635,809.7077
UV,UV16 (812),1166,-351,-23.13777,853.927,7.534353,635.2207
Violet,V1 (428),171,4,2.39521,603.311,1.423232,1204.196
Violet,V2 (443),236,3,1.287554,1267.635,1.369621,2724.295
Violet,V3 (458),194,3,1.57068,1377.777,1.411742,3659.034
Violet,V4 (473),151,3,2.027027,1240.619,1.392609,3597.195
Violet,V5 (508),205,2,0.9852217,1064.732,1.366979,3423.625
Violet,V6 (525),173,4,2.366864,760.798,1.366723,2594.137
Violet,V7 (542),235,6,2.620087,897.355,1.363356,2857.928
Violet,V8 (581),340,11,3.343465,766.603,1.447221,1668.199
Violet,V9 (598),359,4,1.12676,775.344,1.563713,1068.118
Violet,V10 (615),257,4,1.581028,1176.365,1.53097,1072.887
Violet,V11 (664),209,25,13.58696,522.173,1.434577,449.6446
Violet,V12 (692),169,15,9.740259,462.314,1.501468,240.3773
Violet,V13 (720),179,11,6.547619,522.897,2.161261,153.9998
Violet,V14 (750),198,14,7.608696,467.877,3.069697,116.7984
Violet,V15 (780),280,8,2.941176,502.959,3.622296,83.40751
Violet,V16 (812),315,-98,-23.72881,573.81,5.026181,28.75238
Blue,B1 (508),515,3,0.5859375,143.653,2.228515,393.7449
Blue,B2 (525),330,0,0,178.773,2.03227,371.5476
Blue,B3 (542),306,3,0.990099,546.883,2.116107,1083.954
Blue,B4 (581),326,6,1.875,745.769,1.953022,1277.939
Blue,B5 (598),275,1,0.3649635,875.701,2.20946,1422.253
Blue,B6 (615),224,3,1.357466,937.424,2.343173,1151.839
Blue,B7 (661),434,24,5.853659,574.88,2.168778,677.7945
Blue,B8 (679),306,17,5.882353,482.301,2.384465,481.3057
Blue,B9 (697),508,13,2.626263,598.958,2.216498,405.6882
Blue,B10 (717),428,15,3.631961,422.749,2.08352,212.8475
Blue,B11 (738),272,8,3.030303,277.239,2.143954,140.0146
Blue,B12 (760),318,11,3.583062,276.767,2.532678,107.585
Blue,B13 (783),425,-6,-1.392111,254.885,3.007151,75.01446
Blue,B14 (812),588,-193,-24.71191,547.97,4.06765,73.49995
YellowGreen,YG1 (577),533,31,6.175299,928.213,5.28459,1195.559
YellowGreen,YG2 (598),436,1,0.2298851,1831.561,5.165866,1629.036
YellowGreen,YG3 (615),363,9,2.542373,2704.558,4.961875,2224.766
YellowGreen,YG4 (661),581,52,9.829867,1525.167,3.845336,1421.687
YellowGreen,YG5 (679),609,57,10.32609,1367.656,3.602623,1149.244
YellowGreen,YG6 (697),573,48,9.142857,1533.804,3.030502,754.5018
YellowGreen,YG7 (720),463,34,7.925407,2115.913,2.437855,688.2492
YellowGreen,YG8 (750),430,37,9.414759,1093.116,2.059601,333.6848
YellowGreen,YG9 (780),542,26,5.03876,1039.934,2.091063,213.2543
YellowGreen,YG10 (812),689,-147,-17.58373,1227.543,2.215755,91.30976
Red,R1 (661),194,44,29.33333,424.341,1.478189,1247.431
Red,R2 (679),187,28,17.61006,1090.005,1.800334,2481.504
Red,R3 (697),243,10,4.291845,2055.158,1.440827,1906.517
Red,R4 (717),258,7,2.788845,1973.065,1.634246,1073.097
Red,R5 (738),190,7,3.825137,1650.792,1.904684,953.1841
Red,R6 (760),269,8,3.065134,1449.988,3.040377,698.0598
Red,R7 (783),400,-10,-2.439024,1910.856,3.851296,533.6639
Red,R8 (812),227,-88,-27.93651,2116.661,5.10481,207.3801


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.55,1.167793,1.15
Violet,-20.25,1.138259,9.049999
Blue,0,1.241255,1.125
Red,20.35,1.081726,74.04
UV,39.05,1.019988,0
FSC Area Scaling Factor,1.220565,Window Extension,3
Flow Rate,15.2
Temperature,20.75
