DailyQCReport_U0363_20260421_093336


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0363
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,581,0,0,2010.15,3.084648,296.3009
Violet,SSC,149,5,3.472222,1987.891,2.315531,11177.03
Blue,SSC-B,113,-6,-5.042017,2008.3,2.756013,10640.28
UV,UV1 (373),1142,-17,-1.466782,304.82,5.949677,48.29107
UV,UV2 (388),238,-5,-2.057613,2024.426,4.986763,480.7997
UV,UV3 (428),295,-7,-2.317881,1543.194,4.730636,1558.804
UV,UV4 (443),468,-6,-1.265823,1246.453,5.074594,2098.743
UV,UV5 (458),340,-6,-1.734104,1211.69,4.822593,3021.892
UV,UV6 (473),318,-2,-0.625,1552.181,4.703157,4849.18
UV,UV7 (514),394,-5,-1.253133,1710.343,4.73188,6267.938
UV,UV8 (542),309,-4,-1.277955,1036.798,4.582092,3879.431
UV,UV9 (582),397,-3,-0.75,1374.46,4.670916,4007.356
UV,UV10 (613),268,-7,-2.545455,1257.224,4.502149,3762.455
UV,UV11 (664),339,5,1.497006,591.7475,4.620581,2160.145
UV,UV12 (692),251,-4,-1.568628,500.286,4.768436,1271.905
UV,UV13 (720),685,-15,-2.142857,548.8245,5.04966,996.9128
UV,UV14 (750),1083,-46,-4.074402,645.946,5.402375,1496.1
UV,UV15 (780),639,-50,-7.256894,581.837,5.813451,765.3364
UV,UV16 (812),1293,-224,-14.76599,853.6385,7.875202,600.6651
Violet,V1 (428),169,2,1.197605,599.4545,1.180373,1236.034
Violet,V2 (443),234,1,0.4291846,1265.56,1.122817,3042.683
Violet,V3 (458),193,2,1.04712,1374.02,1.146807,3304.91
Violet,V4 (473),150,2,1.351351,1237.238,1.155976,3747.447
Violet,V5 (508),207,4,1.970443,1077.634,1.147958,3494.247
Violet,V6 (525),173,4,2.366864,761.5825,1.166675,2356.712
Violet,V7 (542),235,6,2.620087,899.749,1.188281,2620.198
Violet,V8 (581),335,6,1.823708,767.335,1.453636,1728.327
Violet,V9 (598),352,-3,-0.8450705,770.3175,1.565876,1107.587
Violet,V10 (615),250,-3,-1.185771,1163.96,1.502873,1091.796
Violet,V11 (664),203,19,10.32609,524.362,1.764843,489.0052
Violet,V12 (692),166,12,7.792208,462.209,1.678399,236.2482
Violet,V13 (720),177,9,5.357143,521.292,2.226548,150.0367
Violet,V14 (750),197,13,7.065217,464.813,2.929454,118.544
Violet,V15 (780),286,14,5.147059,500.691,3.530677,80.86813
Violet,V16 (812),374,-39,-9.443099,568.4435,7.069193,29.21988
Blue,B1 (508),510,-2,-0.390625,143.235,2.001942,378.6274
Blue,B2 (525),326,-4,-1.212121,178.995,1.79292,409.6145
Blue,B3 (542),302,-1,-0.330033,543.782,1.8859,1000.519
Blue,B4 (581),317,-3,-0.9375001,743.0145,1.713961,1400.9
Blue,B5 (598),271,-3,-1.09489,885.802,1.994954,1385.633
Blue,B6 (615),220,-1,-0.4524887,938.736,1.993337,1235.903
Blue,B7 (661),422,12,2.926829,573.407,1.864194,686.7865
Blue,B8 (679),297,8,2.768166,487.4745,2.060412,494.1168
Blue,B9 (697),500,5,1.010101,603.7115,1.732605,419.3326
Blue,B10 (717),415,2,0.4842615,415.7605,1.93778,213.4724
Blue,B11 (738),270,6,2.272727,278.1865,2.349561,132.7931
Blue,B12 (760),312,5,1.628664,271.856,2.837823,110.1155
Blue,B13 (783),434,3,0.6960557,255.633,3.472581,71.34134
Blue,B14 (812),691,-90,-11.52369,548.102,6.868739,68.40473
YellowGreen,YG1 (577),517,15,2.988048,918.007,3.854536,1123.472
YellowGreen,YG2 (598),425,-10,-2.298851,1823.682,3.654827,1653.187
YellowGreen,YG3 (615),358,4,1.129943,2725.121,3.437478,2042.235
YellowGreen,YG4 (661),580,51,9.640832,1551.526,2.625108,1320.583
YellowGreen,YG5 (679),590,38,6.884058,1346.206,2.489776,1129.597
YellowGreen,YG6 (697),562,37,7.047619,1521.041,1.908489,755.1671
YellowGreen,YG7 (720),466,37,8.624708,2116.861,1.564599,674.8793
YellowGreen,YG8 (750),426,33,8.396947,1078.283,1.473593,312.6936
YellowGreen,YG9 (780),547,31,6.007752,1028.09,1.709381,219.7653
YellowGreen,YG10 (812),771,-65,-7.77512,1152.213,5.50481,87.58142
Red,R1 (661),186,36,24,424.0065,1.85896,1265.475
Red,R2 (679),180,21,13.20755,1120.396,2.212725,2512.478
Red,R3 (697),236,3,1.287554,2024.927,1.368775,1682.571
Red,R4 (717),255,4,1.593626,1958.492,1.709486,994.9755
Red,R5 (738),188,5,2.73224,1642.385,2.001038,914.3525
Red,R6 (760),267,6,2.298851,1440.006,3.072786,684.6048
Red,R7 (783),409,-1,-0.2439024,1909.926,3.83824,495.1598
Red,R8 (812),270,-45,-14.28572,2105.387,7.669894,203.8549


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.6,1.165535,1.15
Violet,-20.25,1.133461,9.049999
Blue,0,1.240132,1.1
Red,20.275,1.079564,73.88
UV,39.025,1.035295,0
FSC Area Scaling Factor,1.223104,Window Extension,3
Flow Rate,15.19
Temperature,20.12
