DailyQCReport_U0363_20260422_093811


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0363
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,581,0,0,2044.732,2.716155,477.4153
Violet,SSC,148,4,2.777778,1998.34,2.441953,12979.17
Blue,SSC-B,114,-5,-4.201681,1986.137,4.76866,11734.51
UV,UV1 (373),1161,2,0.1725626,307.42,5.581499,48.00536
UV,UV2 (388),244,1,0.4115226,2030.964,4.901592,472.7467
UV,UV3 (428),303,1,0.3311258,1551.837,4.640195,1560.077
UV,UV4 (443),478,4,0.8438818,1249.047,5.08154,1895.33
UV,UV5 (458),349,3,0.867052,1211.838,4.782785,3174.683
UV,UV6 (473),325,5,1.5625,1550.393,4.670738,5322.593
UV,UV7 (514),400,1,0.2506266,1701.624,4.706862,6824.682
UV,UV8 (542),314,1,0.3194888,1049.081,4.661515,4108.167
UV,UV9 (582),402,2,0.5,1349.292,4.829707,4497.766
UV,UV10 (613),282,7,2.545455,1233.614,4.549707,4261.69
UV,UV11 (664),346,12,3.592814,592.613,4.765888,2135.724
UV,UV12 (692),268,13,5.098039,489.092,5.596239,1178.689
UV,UV13 (720),766,66,9.428571,547.905,7.516075,993.2838
UV,UV14 (750),1225,96,8.5031,653.118,8.022293,1435.258
UV,UV15 (780),767,78,11.32076,610.787,9.29708,789.0486
UV,UV16 (812),1732,215,14.17271,847.23,15.39171,586.5411
Violet,V1 (428),170,3,1.796407,602.185,1.102744,1186.116
Violet,V2 (443),236,3,1.287554,1274.148,1.041356,2707.594
Violet,V3 (458),194,3,1.57068,1386.547,1.077848,3261.119
Violet,V4 (473),150,2,1.351351,1241.837,1.142953,3556.823
Violet,V5 (508),204,1,0.4926108,1067.752,1.204117,3183.854
Violet,V6 (525),172,3,1.775148,771.45,1.284677,2275.31
Violet,V7 (542),230,1,0.4366812,898.457,1.506648,2552.896
Violet,V8 (581),332,3,0.9118541,766.826,2.038329,1553.107
Violet,V9 (598),363,8,2.253521,781.498,1.550336,1092.078
Violet,V10 (615),261,8,3.162055,1167.56,1.37027,1076.728
Violet,V11 (664),196,12,6.521739,513.09,1.462877,459.8207
Violet,V12 (692),168,14,9.090909,458.608,2.084529,230.5764
Violet,V13 (720),188,20,11.90476,522.902,4.746654,151.5555
Violet,V14 (750),208,24,13.04348,467.065,5.253042,112.498
Violet,V15 (780),309,37,13.60294,494.061,7.034612,79.21807
Violet,V16 (812),513,100,24.21308,567.105,17.49984,29.96204
Blue,B1 (508),508,-4,-0.78125,144.148,2.881849,375.4829
Blue,B2 (525),322,-8,-2.424242,179.554,2.898501,379.9253
Blue,B3 (542),296,-7,-2.310231,551.844,3.257222,1073.333
Blue,B4 (581),311,-9,-2.8125,742.452,3.188536,1284.593
Blue,B5 (598),270,-4,-1.459854,883.189,3.007252,1428.037
Blue,B6 (615),223,2,0.9049774,934.081,2.947452,1126.535
Blue,B7 (661),415,5,1.219512,578.591,2.786172,655.1763
Blue,B8 (679),294,5,1.730104,486.737,2.878522,470.698
Blue,B9 (697),520,25,5.050505,612.052,3.67785,422.2111
Blue,B10 (717),442,29,7.021791,419.413,4.784735,214.3102
Blue,B11 (738),283,19,7.19697,276.902,4.990128,138.8688
Blue,B12 (760),335,28,9.120521,278.022,5.371401,107.1459
Blue,B13 (783),474,43,9.976798,252.655,7.486962,72.76315
Blue,B14 (812),915,134,17.15749,545.776,16.06882,76.96097
YellowGreen,YG1 (577),505,3,0.5976096,917.794,3.065351,1182.639
YellowGreen,YG2 (598),444,9,2.068965,1827.384,3.096808,1540.239
YellowGreen,YG3 (615),370,16,4.519774,2679.595,3.251439,2258.46
YellowGreen,YG4 (661),558,29,5.482041,1544.888,2.38464,1426.609
YellowGreen,YG5 (679),587,35,6.34058,1365.979,2.688454,1197.068
YellowGreen,YG6 (697),579,54,10.28571,1509.59,4.4403,745.6177
YellowGreen,YG7 (720),483,54,12.58741,2083.295,6.403912,717.9564
YellowGreen,YG8 (750),449,56,14.24936,1081.732,6.643494,324.6823
YellowGreen,YG9 (780),593,77,14.92248,1044.647,8.325147,223.5772
YellowGreen,YG10 (812),1036,200,23.92344,1228.01,16.83014,91.96477
Red,R1 (661),157,7,4.666667,418.146,3.108805,1265.402
Red,R2 (679),164,5,3.144654,1077.127,2.534578,2456.114
Red,R3 (697),246,13,5.579399,2064.28,3.401623,1827.851
Red,R4 (717),275,24,9.561753,1985.86,5.838449,1084.827
Red,R5 (738),198,15,8.196721,1638.39,5.678504,921.8536
Red,R6 (760),285,24,9.195402,1436.129,6.098271,719.2043
Red,R7 (783),450,40,9.756097,1892.754,8.099708,507.0492
Red,R8 (812),369,54,17.14286,2089.184,17.76847,182.1447


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.275,1.167008,1.15
Violet,-20.125,1.137926,9.2
Blue,0,1.241289,1.1
Red,20.325,1.082728,73.96
UV,38.875,1.014599,0
FSC Area Scaling Factor,1.209409,Window Extension,3
Flow Rate,14.13
Temperature,21.12
