DailyQCReport_U0363_20260421_092838


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0363
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,581,0,0,1998.928,3.054608,212.3367
Violet,SSC,151,7,4.861111,2010.619,2.271806,12446.02
Blue,SSC-B,113,-6,-5.042017,2001.158,2.79064,10431.73
UV,UV1 (373),1136,-23,-1.984469,302.6225,6.002315,46.85837
UV,UV2 (388),239,-4,-1.646091,2022.709,5.199913,460.4998
UV,UV3 (428),300,-2,-0.6622517,1558.599,4.923693,1529.621
UV,UV4 (443),468,-6,-1.265823,1234.339,5.288942,1907.824
UV,UV5 (458),342,-4,-1.156069,1217.24,5.024371,2841.407
UV,UV6 (473),315,-5,-1.5625,1542.552,4.876971,5107.87
UV,UV7 (514),385,-14,-3.508772,1703.448,4.936654,6228.795
UV,UV8 (542),292,-21,-6.709265,1036.578,4.749632,4013.677
UV,UV9 (582),376,-24,-6,1360.407,4.878668,4342.432
UV,UV10 (613),279,4,1.454545,1227.943,4.738441,4040.435
UV,UV11 (664),347,13,3.892216,590.807,5.074247,2219.768
UV,UV12 (692),299,44,17.2549,496.9465,5.495579,1199.759
UV,UV13 (720),927,227,32.42857,543.695,5.760655,1065.77
UV,UV14 (750),1539,410,36.31532,669.3625,6.16644,1447.818
UV,UV15 (780),990,301,43.6865,630.9125,6.419026,778.5618
UV,UV16 (812),2625,1108,73.03889,874.647,6.738577,553.6772
Violet,V1 (428),170,3,1.796407,603.2555,1.232423,1244.811
Violet,V2 (443),235,2,0.8583691,1279.846,1.171666,2872.486
Violet,V3 (458),192,1,0.5235602,1385.228,1.219823,3568.17
Violet,V4 (473),148,0,0,1242.932,1.242798,3520.667
Violet,V5 (508),200,-3,-1.477833,1063.822,1.228611,3547.953
Violet,V6 (525),167,-2,-1.183432,763.628,1.265278,2616.064
Violet,V7 (542),223,-6,-2.620087,894.748,1.317841,2686.652
Violet,V8 (581),313,-16,-4.863222,766.085,1.499205,1644.005
Violet,V9 (598),354,-1,-0.2816901,779.47,1.37699,1088.766
Violet,V10 (615),264,11,4.347826,1179.783,1.289445,1063.638
Violet,V11 (664),199,15,8.152174,523.0755,1.203314,518.8577
Violet,V12 (692),186,32,20.77922,455.1315,1.767452,241.1847
Violet,V13 (720),230,62,36.90476,527.076,2.752997,157.6837
Violet,V14 (750),258,74,40.21739,466.746,3.288505,123.0416
Violet,V15 (780),411,139,51.10294,504.228,3.729503,83.08494
Violet,V16 (812),831,418,101.2107,580.47,4.509096,31.43024
Blue,B1 (508),481,-31,-6.054688,143.0105,2.079181,396.2787
Blue,B2 (525),302,-28,-8.484849,178.8455,1.886163,380.2436
Blue,B3 (542),271,-32,-10.56106,544.57,2.027557,1027.998
Blue,B4 (581),287,-33,-10.3125,747.6315,1.798605,1320.036
Blue,B5 (598),257,-17,-6.20438,870.564,1.946236,1378.68
Blue,B6 (615),219,-2,-0.9049774,934.275,1.951307,1118.515
Blue,B7 (661),403,-7,-1.707317,573.5,1.730833,726.5478
Blue,B8 (679),297,8,2.768166,487.941,2.018495,504.0885
Blue,B9 (697),573,78,15.75758,600.6275,2.303662,400.7274
Blue,B10 (717),524,111,26.87651,426.1005,2.775291,215.6536
Blue,B11 (738),340,76,28.78788,278.782,3.209078,134.2085
Blue,B12 (760),410,103,33.55049,277.8505,3.570236,105.2675
Blue,B13 (783),627,196,45.47564,257.1485,4.07565,74.1724
Blue,B14 (812),1399,618,79.12932,546.5875,4.613741,69.19186
YellowGreen,YG1 (577),525,23,4.581674,928.459,3.432944,1153.289
YellowGreen,YG2 (598),504,69,15.86207,1834.27,3.375485,1613.693
YellowGreen,YG3 (615),428,74,20.90396,2708.208,3.246406,2283.859
YellowGreen,YG4 (661),653,124,23.44045,1543.334,2.447582,1367.381
YellowGreen,YG5 (679),701,149,26.99275,1377.929,2.547885,1163.107
YellowGreen,YG6 (697),767,242,46.09524,1552.578,2.729626,690.2927
YellowGreen,YG7 (720),692,263,61.30536,2116.002,3.05717,659.7979
YellowGreen,YG8 (750),652,259,65.90331,1108.66,3.154743,313.9757
YellowGreen,YG9 (780),903,387,75,1062.224,3.50005,229.1343
YellowGreen,YG10 (812),1819,983,117.5837,1260.937,4.195193,97.08779
Red,R1 (661),151,1,0.6666667,419.454,1.625129,1239.636
Red,R2 (679),165,6,3.773585,1097.806,2.148785,2513.089
Red,R3 (697),283,50,21.45923,2062.111,2.346298,1852.786
Red,R4 (717),343,92,36.65339,1973.625,2.973134,1013.407
Red,R5 (738),250,67,36.61202,1645.751,3.195052,984.065
Red,R6 (760),363,102,39.08046,1454.655,3.837291,732.9518
Red,R7 (783),610,200,48.78049,1928.078,4.404163,511.2263
Red,R8 (812),603,288,91.42857,2136.513,4.896821,155.3517


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.65,1.163823,1.125
Violet,-20.275,1.130193,9.3
Blue,0,1.237856,1.075
Red,20.175,1.073442,73.84
UV,38.975,1.039434,0
FSC Area Scaling Factor,1.227139,Window Extension,3
Flow Rate,14.48
Temperature,19.88
