DailyQCReport_U0363_20260427_082309


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0363
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,581,0,0,2039.213,2.481357,39.0982
Violet,SSC,149,5,3.472222,2002.255,2.483441,11419.91
Blue,SSC-B,112,-7,-5.882353,2010.335,3.952502,11060.25
UV,UV1 (373),1122,-37,-3.192407,297.89,6.671295,47.15234
UV,UV2 (388),240,-3,-1.234568,2026.158,5.566873,460.8982
UV,UV3 (428),297,-5,-1.655629,1530.474,5.193992,1569.609
UV,UV4 (443),471,-3,-0.6329114,1234.583,5.460604,1974.292
UV,UV5 (458),345,-1,-0.2890173,1218.246,5.183751,2904.157
UV,UV6 (473),320,0,0,1557.468,5.038297,5221.857
UV,UV7 (514),399,0,0,1718.694,5.089828,6628.555
UV,UV8 (542),315,2,0.6389776,1048.678,4.973751,3884.259
UV,UV9 (582),404,4,1,1363.288,5.064148,4297.226
UV,UV10 (613),279,4,1.454545,1242.373,4.912662,4203.928
UV,UV11 (664),342,8,2.39521,593.529,5.111579,2229.202
UV,UV12 (692),257,2,0.7843138,503.08,5.215191,1156.145
UV,UV13 (720),688,-12,-1.714286,547.412,5.369378,997.2456
UV,UV14 (750),1099,-30,-2.657219,652.116,5.857742,1463.711
UV,UV15 (780),664,-25,-3.628447,609.494,6.468696,762.3739
UV,UV16 (812),1290,-227,-14.96374,864.457,7.642655,694.0518
Violet,V1 (428),169,2,1.197605,600.447,1.481803,1172.689
Violet,V2 (443),234,1,0.4291846,1268.696,1.376151,2619.947
Violet,V3 (458),193,2,1.04712,1383.739,1.385729,3489.261
Violet,V4 (473),150,2,1.351351,1243.231,1.335587,3579.32
Violet,V5 (508),204,1,0.4926108,1065.524,1.284879,3437.406
Violet,V6 (525),173,4,2.366864,766.2,1.306816,2533.282
Violet,V7 (542),233,4,1.746725,897.987,1.269347,2538.148
Violet,V8 (581),341,12,3.647416,772.228,1.355882,1715.765
Violet,V9 (598),366,11,3.098592,776.472,1.418108,1032.033
Violet,V10 (615),261,8,3.162055,1170.118,1.318808,1011.98
Violet,V11 (664),201,17,9.23913,517.77,1.553382,452.8819
Violet,V12 (692),165,11,7.142858,454.875,1.648737,234.4835
Violet,V13 (720),178,10,5.952381,523.424,2.435745,149.034
Violet,V14 (750),195,11,5.978261,466.491,3.389225,115.0502
Violet,V15 (780),281,9,3.308824,500.399,4.027747,79.74017
Violet,V16 (812),364,-49,-11.86441,572.335,5.879729,31.06596
Blue,B1 (508),503,-9,-1.757813,141.932,2.123105,372.0663
Blue,B2 (525),322,-8,-2.424242,178.601,1.900157,394.7939
Blue,B3 (542),298,-5,-1.650165,543.334,1.989953,1064.203
Blue,B4 (581),318,-2,-0.625,747.274,1.737017,1321.997
Blue,B5 (598),274,0,0,885.369,2.009629,1467.3
Blue,B6 (615),221,0,0,927.3,2.081974,1116.966
Blue,B7 (661),417,7,1.707317,574.641,1.918953,668.3506
Blue,B8 (679),296,7,2.422145,491.815,2.170213,514.3333
Blue,B9 (697),497,2,0.4040404,608.076,2.031326,401.5751
Blue,B10 (717),413,0,0,422.668,2.185896,224.1163
Blue,B11 (738),265,1,0.3787879,278.817,2.537819,131.9997
Blue,B12 (760),309,2,0.6514658,275.482,3.032197,104.7396
Blue,B13 (783),422,-9,-2.088167,255.455,3.678664,73.66859
Blue,B14 (812),657,-124,-15.87708,551.08,5.470923,70.34792
YellowGreen,YG1 (577),524,22,4.38247,932.036,2.995974,1207.671
YellowGreen,YG2 (598),443,8,1.83908,1828.232,2.879421,1534.507
YellowGreen,YG3 (615),363,9,2.542373,2689.712,2.748521,2114.781
YellowGreen,YG4 (661),563,34,6.427221,1539.362,1.886823,1450.864
YellowGreen,YG5 (679),579,27,4.891304,1352.291,1.847298,1167.771
YellowGreen,YG6 (697),557,32,6.095238,1515.789,1.490728,754.2902
YellowGreen,YG7 (720),451,22,5.128205,2092.084,1.48187,651.5071
YellowGreen,YG8 (750),420,27,6.870229,1097.673,1.543421,316.9332
YellowGreen,YG9 (780),535,19,3.68217,1039.764,1.759585,200.7663
YellowGreen,YG10 (812),756,-80,-9.569378,1211.921,3.70027,93.03075
Red,R1 (661),167,17,11.33333,417.458,2.042736,1196.69
Red,R2 (679),170,11,6.918239,1077.346,2.218729,2438.991
Red,R3 (697),236,3,1.287554,2033.708,1.439126,1818.219
Red,R4 (717),254,3,1.195219,1984.247,1.696884,1112.344
Red,R5 (738),184,1,0.5464481,1641.891,1.916027,949.8085
Red,R6 (760),264,3,1.149425,1448.743,3.047115,701.9017
Red,R7 (783),401,-9,-2.195122,1917.313,3.969491,524.0266
Red,R8 (812),261,-54,-17.14286,2129.879,6.189934,191.2574


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.5,1.169635,1.15
Violet,-20.25,1.139257,9.099999
Blue,0,1.240353,1.075
Red,20.325,1.084072,73.88
UV,38.975,1.022426,0
FSC Area Scaling Factor,1.212679,Window Extension,3
Flow Rate,14.17
Temperature,21.25
