DailyQCReport_U0363_20260420_093847


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0363
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,581,0,0,2020.086,3.030723,505.3769
Violet,SSC,150,6,4.166667,2002.105,2.436832,13692.63
Blue,SSC-B,113,-6,-5.042017,1997.73,3.171424,11412.46
UV,UV1 (373),1128,-31,-2.67472,305.531,6.464819,48.59399
UV,UV2 (388),237,-6,-2.469136,2034.451,5.2291,446.0231
UV,UV3 (428),297,-5,-1.655629,1548.283,4.977687,1647.885
UV,UV4 (443),466,-8,-1.687764,1251.003,5.326663,1860.067
UV,UV5 (458),339,-7,-2.023121,1220.39,5.079613,2954.044
UV,UV6 (473),315,-5,-1.5625,1549.666,4.972636,5229.486
UV,UV7 (514),391,-8,-2.005013,1715.65,5.035735,6334.634
UV,UV8 (542),305,-8,-2.555911,1052.929,4.936929,3892.288
UV,UV9 (582),391,-9,-2.25,1376.97,5.049024,4108.904
UV,UV10 (613),271,-4,-1.454545,1254.509,4.757168,4271.963
UV,UV11 (664),333,-1,-0.2994012,588.705,5.030353,2257.639
UV,UV12 (692),256,1,0.3921569,486.748,5.647972,1152.585
UV,UV13 (720),718,18,2.571429,531.821,6.418585,1039.615
UV,UV14 (750),1171,42,3.720106,635.443,6.892139,1383.774
UV,UV15 (780),719,30,4.354136,588.407,7.373951,791.3184
UV,UV16 (812),1601,84,5.537245,788.374,8.532625,544.5735
Violet,V1 (428),169,2,1.197605,599.415,1.285048,1267.783
Violet,V2 (443),234,1,0.4291846,1265.652,1.241167,2809.906
Violet,V3 (458),192,1,0.5235602,1376.274,1.281672,3526.781
Violet,V4 (473),149,1,0.6756757,1238.824,1.302053,3518.602
Violet,V5 (508),204,1,0.4926108,1073.345,1.304521,3515.155
Violet,V6 (525),171,2,1.183432,766.62,1.332758,2473.026
Violet,V7 (542),231,2,0.8733625,901.17,1.420869,2742.255
Violet,V8 (581),330,1,0.3039514,779.515,1.660086,1677.366
Violet,V9 (598),355,0,0,779.427,1.488835,1051.055
Violet,V10 (615),258,5,1.976285,1180.678,1.493535,1042.684
Violet,V11 (664),198,14,7.608696,526.214,1.290393,471.2164
Violet,V12 (692),167,13,8.441559,458.16,1.839408,249.9286
Violet,V13 (720),186,18,10.71429,513.697,3.094666,151.9028
Violet,V14 (750),206,22,11.95652,456.13,3.678502,109.4321
Violet,V15 (780),308,36,13.23529,481.242,4.375973,77.52416
Violet,V16 (812),494,81,19.61259,519.281,7.400457,26.29709
Blue,B1 (508),507,-5,-0.9765625,145.143,2.143953,396.9852
Blue,B2 (525),320,-10,-3.030303,179.247,2.078236,389.5656
Blue,B3 (542),294,-9,-2.970297,553.469,2.230146,1054.806
Blue,B4 (581),312,-8,-2.5,755.075,2.048295,1324.81
Blue,B5 (598),268,-6,-2.189781,888.161,2.064748,1421.09
Blue,B6 (615),221,0,0,941.357,2.051426,1173.631
Blue,B7 (661),414,4,0.9756098,587.318,1.862899,692.7771
Blue,B8 (679),291,2,0.6920415,487.3,2.066946,468.5742
Blue,B9 (697),512,17,3.434343,606.466,2.624284,419.2556
Blue,B10 (717),434,21,5.084745,411.497,3.063342,205.9894
Blue,B11 (738),282,18,6.818182,273.396,3.43592,135.3789
Blue,B12 (760),330,23,7.491857,269.654,3.825706,102.6473
Blue,B13 (783),472,41,9.512761,245.826,4.604517,67.86248
Blue,B14 (812),870,89,11.39565,500.821,6.972541,64.16839
YellowGreen,YG1 (577),536,34,6.772909,923.615,3.857803,1156.974
YellowGreen,YG2 (598),468,33,7.586207,1848.916,3.923652,1587.262
YellowGreen,YG3 (615),385,31,8.757062,2696.888,3.818937,2359.614
YellowGreen,YG4 (661),595,66,12.47637,1531.835,2.738816,1402.491
YellowGreen,YG5 (679),626,74,13.4058,1358.839,2.730644,1176.817
YellowGreen,YG6 (697),612,87,16.57143,1488.012,2.841714,709.4069
YellowGreen,YG7 (720),513,84,19.58042,2042.118,3.286269,619.9063
YellowGreen,YG8 (750),477,84,21.37404,1054.205,3.403728,281.118
YellowGreen,YG9 (780),627,111,21.51163,998.698,3.917559,201.0733
YellowGreen,YG10 (812),1047,211,25.23923,1097.419,6.709708,80.81752
Red,R1 (661),159,9,6,426.219,2.132273,1265.814
Red,R2 (679),167,8,5.031446,1114.834,2.136203,2543.681
Red,R3 (697),241,8,3.433476,2033.252,2.36765,1796.301
Red,R4 (717),267,16,6.374502,1930.018,3.26786,1041.376
Red,R5 (738),195,12,6.557377,1597.238,3.494033,857.3673
Red,R6 (760),283,22,8.429119,1414.017,4.34526,683.3195
Red,R7 (783),447,37,9.02439,1841.002,5.160987,491.0073
Red,R8 (812),355,40,12.69841,1909.322,7.794453,181.8177


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-41.3,1.167329,1.125
Violet,-20.3,1.131647,9.049999
Blue,0,1.238546,1.075
Red,20.25,1.076991,73.8
UV,39.15,1.039269,0
FSC Area Scaling Factor,1.219845,Window Extension,3
Flow Rate,14.57
Temperature,20
