Cytometer Serial Number:,R6643380033
UserId:,51379780-8b83-4053-b9ba-1f438aae3d49
Setup Type:,CSTPerformanceCheckSetupResult
Setup Data time:,4/8/2026 1:49:21 PM,Last Baseline Setup Data time:,3/9/2026 5:19:05 PM
Configuration Name,8 Color B2-V2-YG4 (1)
Nozzle,Nozzle100
BeadLotId:,4319780
Window Extension,2
FSC Area Scaling Factor,1.15996

Laser setup result:
Laser, FSC based delay, FL based delay, Area Scaling Factor
LSR_Violet,-110.452262878418,-110.485595703125,0.9870768
LSR_YellowGreen,-56.0569267272949,-56.0850524902344,0.7782586
LSR_Blue,0,0,1.101772

Detector results:
Laser, Name, Filter, Mirror, Position, PMTV, DeltPMTV, Slope, Intercept, Bri-Median, Bri-%rCV, Linearity-Min, Linearity-Max, Sensitivity, %Sensitivity Diff, Qr*1000, Br
Blue,FSC,,, ,400,3,0.00383100798353553,3.544837474823,120638.2,2.327927,,,58.6212768554688,-15.5198888778687,,
YellowGreen,PE (YG),BP/582/15,BP/582/15,D,586,-3,8.87434577941895,-19.5651893615723,100428,2.539134,106.62378692627,231724.171875,4051.25146484375,8.46597957611084,544.995544433594,13.1601438522339
YellowGreen,PE-CF594 (YG),BP/613/18,LP/605/10,C,601,-3,8.93351650238037,-19.8222846984863,101441.3,2.519457,29.308744430542,231881,2875.82055664063,13.2304239273071,322.443023681641,15.4806756973267
YellowGreen,PE-Cy5 (YG),BP/697/58,LP/665/10,B,562,-1,8.86370277404785,-19.3748207092285,100641.3,1.975417,71.8879013061523,231157.984375,1217.97143554688,3.09712266921997,342.516723632813,91.8721618652344
YellowGreen,PE-Cy7 (YG),BP/783/56,LP/752/10,A,594,-2,8.68389320373535,-19.090841293335,100873.2,2.267125,112.847503662109,231711.71875,2223.48388671875,7.7160005569458,127.472846984863,9.46481037139893
Violet,V450,BP/448/45,BP/448/45,B,602,-1,8.91944885253906,-19.7953968048096,101403.4,4.361309,23.0360164642334,225120.625,288.397064208984,3.15593886375427,71.5023040771484,344.342834472656
Violet,BV510,BP/528/45,LP/500/5,A,464,-2,8.74019432067871,-18.3023357391357,102623.4,3.871671,753.139587402344,229693.75,414.784881591797,11.7673511505127,55.6080780029297,112.422050476074
Blue,SSC,BP/488/15,ND/10/5,C,389,1,8.2736759185791,-16.3501567840576,121244.5,7.874782,,,3015.36547851563,12.7846336364746,,
Blue,FITC,BP/527/32,LP/507/5,B,577,1,8.8085412979126,-19.3199501037598,100699.7,3.278336,62.8009796142578,225038.5,449.025268554688,3.69163870811462,58.6654281616211,115.624862670898
Blue,PerCP,BP/700/54,LP/665/5,A,620,2,8.71109485626221,-19.3269691467285,100401.1,3.135157,95.4937286376953,224905.1875,144.602416992188,13.4857387542725,14.8536825180054,283.198150634766

Status:,Passed
