Cytometer Serial Number:,R6643380033
UserId:,51379780-8b83-4053-b9ba-1f438aae3d49
Setup Type:,CSTPerformanceCheckSetupResult
Setup Data time:,4/6/2026 1:57:00 PM,Last Baseline Setup Data time:,3/9/2026 5:19:05 PM
Configuration Name,8 Color B2-V2-YG4 (1)
Nozzle,Nozzle100
BeadLotId:,4319780
Window Extension,2
FSC Area Scaling Factor,1.174933

Laser setup result:
Laser, FSC based delay, FL based delay, Area Scaling Factor
LSR_Violet,-110.563621520996,-110.512588500977,0.9626305
LSR_YellowGreen,-56.4593353271484,-56.4232215881348,0.779123
LSR_Blue,0,0,1.124336

Detector results:
Laser, Name, Filter, Mirror, Position, PMTV, DeltPMTV, Slope, Intercept, Bri-Median, Bri-%rCV, Linearity-Min, Linearity-Max, Sensitivity, %Sensitivity Diff, Qr*1000, Br
Blue,FSC,,, ,399,2,0.00382601213641465,3.55234050750732,119862.5,2.345615,,,50.3361625671387,-27.4597072601318,,
YellowGreen,PE (YG),BP/582/15,BP/582/15,D,587,-2,8.94996738433838,-19.7810897827148,99919.41,3.142169,102.84423828125,231233.578125,3860.23583984375,3.35183191299438,532.356628417969,14.2183332443237
YellowGreen,PE-CF594 (YG),BP/613/18,LP/605/10,C,602,-2,8.90708923339844,-19.7591571807861,101018,3.115434,24.5313129425049,231718.1875,2615.32543945313,2.97388243675232,335.023895263672,19.4682559967041
YellowGreen,PE-Cy5 (YG),BP/697/58,LP/665/10,B,563,0,8.81972026824951,-19.2670555114746,100141.9,6.490118,54.5386123657227,226505.859375,1186.79895019531,0.458478212356567,860.168029785156,242.86311340332
YellowGreen,PE-Cy7 (YG),BP/783/56,LP/752/10,A,596,0,8.72735214233398,-19.2284049987793,100585.2,7.151133,116.525619506836,228321.21875,2229.4814453125,8.00655078887939,245.942855834961,18.1665210723877
Violet,V450,BP/448/45,BP/448/45,B,602,-1,8.85795021057129,-19.6268711090088,100721.5,5.684189,28.3701190948486,226990.1875,286.065460205078,2.32195401191711,65.6804351806641,321.074981689453
Violet,BV510,BP/528/45,LP/500/5,A,464,-2,8.63823986053467,-18.039155960083,100490.9,5.347858,747.001220703125,233230.921875,437.050933837891,17.7671298980713,65.4468612670898,115.342575073242
Blue,SSC,BP/488/15,ND/10/5,C,388,0,8.25072002410889,-16.2760791778564,120424.3,8.594637,,,2455.10986328125,-8.17077732086182,,
Blue,FITC,BP/527/32,LP/507/5,B,575,-1,8.74945831298828,-19.14990234375,100057.5,4.15246,62.9628372192383,228035.65625,430.469177246094,-0.593446433544159,56.7909774780273,122.729721069336
Blue,PerCP,BP/700/54,LP/665/5,A,621,3,8.71499633789063,-19.3473167419434,100123.3,6.94592,78.7035446166992,224389.421875,129.117111206055,1.33268141746521,17.0767288208008,408.908264160156

Status:,Passed
