Cytometer Serial Number:,R6643380033
UserId:,51379780-8b83-4053-b9ba-1f438aae3d49
Setup Type:,CSTPerformanceCheckSetupResult
Setup Data time:,4/27/2026 1:00:13 PM,Last Baseline Setup Data time:,3/9/2026 5:19:05 PM
Configuration Name,8 Color B2-V2-YG4 (1)
Nozzle,Nozzle100
BeadLotId:,4319780
Window Extension,2
FSC Area Scaling Factor,1.178578

Laser setup result:
Laser, FSC based delay, FL based delay, Area Scaling Factor
LSR_Violet,-110.605278015137,-110.624313354492,0.9863483
LSR_YellowGreen,-56.194465637207,-56.2224998474121,0.7910967
LSR_Blue,0,0,1.115625

Detector results:
Laser, Name, Filter, Mirror, Position, PMTV, DeltPMTV, Slope, Intercept, Bri-Median, Bri-%rCV, Linearity-Min, Linearity-Max, Sensitivity, %Sensitivity Diff, Qr*1000, Br
Blue,FSC,,, ,399,2,0.00383033370599151,3.55464220046997,120773.6,2.1948,,,67.8156814575195,-2.26967763900757,,
YellowGreen,PE (YG),BP/582/15,BP/582/15,D,588,-1,8.92156887054443,-19.7015895843506,101345,2.710431,106.76277923584,229475.015625,3651.13159179688,-2.24661016464233,494.641418457031,14.7334890365601
YellowGreen,PE-CF594 (YG),BP/613/18,LP/605/10,C,602,-2,8.86602878570557,-19.6409130096436,101417,2.651836,22.1507091522217,230947.25,2568.04736328125,1.11239063739777,311.551971435547,18.8036422729492
YellowGreen,PE-Cy5 (YG),BP/697/58,LP/665/10,B,561,-2,8.81459808349609,-19.2260093688965,101754,2.118586,82.6120452880859,230334.140625,1208.58227539063,2.30236220359802,350.945129394531,95.6242446899414
YellowGreen,PE-Cy7 (YG),BP/783/56,LP/752/10,A,592,-4,8.72241401672363,-19.1842136383057,100630.7,2.385839,111.626968383789,231344.375,2177.90576171875,5.50798225402832,130.409606933594,10.1217975616455
Violet,V450,BP/448/45,BP/448/45,B,602,-1,8.91693687438965,-19.7807865142822,102429.3,4.661358,17.7542705535889,225192.203125,269.626678466797,-3.55798768997192,66.6668395996094,366.864654541016
Violet,BV510,BP/528/45,LP/500/5,A,463,-3,8.6707067489624,-18.1141757965088,100467.5,4.186173,750.611083984375,231325.8125,316.193054199219,-14.7990646362305,50.9061813354492,187.632064819336
Blue,SSC,BP/488/15,ND/10/5,C,389,1,8.34330177307129,-16.5227355957031,121188.1,7.770038,,,2468.185546875,-7.68170356750488,,
Blue,FITC,BP/527/32,LP/507/5,B,576,0,8.7439546585083,-19.1435470581055,99799.36,3.243429,62.4750061035156,226193,409.227661132813,-5.49866628646851,58.3742141723633,138.684478759766
Blue,PerCP,BP/700/54,LP/665/5,A,619,1,8.70668601989746,-19.3099803924561,99909.81,3.112375,78.0937576293945,225213.46875,135.623199462891,6.43873882293701,14.8654842376709,322.945617675781

Status:,Passed
