Cytometer Serial Number:,R6643380033
UserId:,51379780-8b83-4053-b9ba-1f438aae3d49
Setup Type:,CSTPerformanceCheckSetupResult
Setup Data time:,4/9/2026 1:54:26 PM,Last Baseline Setup Data time:,3/9/2026 5:19:05 PM
Configuration Name,8 Color B2-V2-YG4 (1)
Nozzle,Nozzle100
BeadLotId:,4319780
Window Extension,2
FSC Area Scaling Factor,1.15854

Laser setup result:
Laser, FSC based delay, FL based delay, Area Scaling Factor
LSR_Violet,-110.484245300293,-110.485534667969,0.9874542
LSR_YellowGreen,-55.9426651000977,-55.9773635864258,0.7908535
LSR_Blue,0,0,1.098395

Detector results:
Laser, Name, Filter, Mirror, Position, PMTV, DeltPMTV, Slope, Intercept, Bri-Median, Bri-%rCV, Linearity-Min, Linearity-Max, Sensitivity, %Sensitivity Diff, Qr*1000, Br
Blue,FSC,,, ,400,3,0.00383483991026878,3.55038332939148,120431.4,2.313371,,,59.5204696655273,-14.2240467071533,,
YellowGreen,PE (YG),BP/582/15,BP/582/15,D,585,-4,8.86862754821777,-19.546802520752,100034.3,2.474341,113.529777526855,230858.046875,3960.7412109375,6.0427074432373,551.244567871094,13.9307250976563
YellowGreen,PE-CF594 (YG),BP/613/18,LP/605/10,C,600,-4,8.91051959991455,-19.7553100585938,101126.4,2.445293,33.223575592041,231344.421875,2784.84497070313,9.64841842651367,330.875762939453,16.9653816223145
YellowGreen,PE-Cy5 (YG),BP/697/58,LP/665/10,B,560,-3,8.7899341583252,-19.1639747619629,99815.99,1.968763,68.4555130004883,229680.46875,1210.12158203125,2.4326593875885,360.039001464844,97.7062683105469
YellowGreen,PE-Cy7 (YG),BP/783/56,LP/752/10,A,592,-4,8.77777767181396,-19.3426914215088,99770.91,2.243483,117.389549255371,229901.109375,2243.11206054688,8.66688060760498,134.490386962891,9.81687259674072
Violet,V450,BP/448/45,BP/448/45,B,602,-1,8.94264507293701,-19.8546772003174,101675.2,4.218835,25.1535320281982,227004.859375,281.197692871094,0.580815970897675,71.2795486450195,361.3935546875
Violet,BV510,BP/528/45,LP/500/5,A,463,-3,8.61287117004395,-17.964786529541,99960.98,3.702431,753.427551269531,234763.296875,403.194641113281,8.64426040649414,59.1686820983887,126.613304138184
Blue,SSC,BP/488/15,ND/10/5,C,389,1,8.2719202041626,-16.3435516357422,120430.2,7.806358,,,2998.85278320313,12.1670045852661,,
Blue,FITC,BP/527/32,LP/507/5,B,576,0,8.79074764251709,-19.2741069793701,98774.26,3.073153,63.706901550293,228067.421875,448.259796142578,3.51487112045288,55.5522575378418,110.198684692383
Blue,PerCP,BP/700/54,LP/665/5,A,620,2,8.69587230682373,-19.2837371826172,100379,3.084049,97.4213638305664,225933.234375,139.508850097656,9.48824501037598,14.0881662368774,289.976135253906

Status:,Passed
