Cytometer Performance Report,
Cytometer:,LSRFortessa,User:,Administrator,
Cytometer Name:,LSRFortessa,Institution:,N/A,
Serial Number:,1,Software:,BD FACSDiva 8.0.1,
Input Device:,Manual,Date:,04/22/2026 09:23 AM,
Cytometer Configuration:,CST N Carolina 2-Blue 3-Red 3-YG 6-Violet 4-UV,Cytometer Baseline:,03/13/2026 10:41 AM,
 , ,P/F:,Pass,
Setup Beads,
Bead Product:,CST Setup Beads,Part #:,910858,
Lot ID:,11545,Expiration Date:,04/30/2027,
Bead Lot Information:,Available, , ,
Detector Settings,
Laser,Detector,Parameter,Target Value,Actual Target Value,% Difference Target Value,Bright Bead %Robust CV,Mid Bead Median Channel,Mid Bead %Robust CV,
Blue,FSC,FSC,125000,124578,-1,6.21,124766,6.24,
Blue,C,SSC,125000,123904,-1,5.8,122502,4.85,
Blue,B,FITC,7983,7793,-3,3.8,163,12.76,
Blue,A,PerCP-Cy5-5,42568,41569,-3,3.22,1016,9.19,
Red,C,APC,30500,30197,-1,2.08,1074,7.87,
Red,B,Alexa Fluor 700,29767,28919,-3,2.19,696,8.87,
Red,A,APC-Cy7,24925,24441,-2,2.29,543,9.8,
Violet,F,BV 421,8740,8265,-6,3.6,262,18.82,
Violet,E,BV 510,34916,33928,-3,3.41,663,10.04,
Violet,D,BV 605,54645,54590,-1,4.66,1053,32.47,
Violet,C,BV 650,10072,9671,-4,4.39,553,13.31,
Violet,B,BV 711,25712,24266,-6,4.47,838,9.51,
Violet,A,BV 785,48481,47188,-3,5.83,915,14.34,
UV,C,BUV396,3460,3566,3,5.03,384,5.67,
UV,B,BUV496,23879,22911,-5,4.61,1142,10.23,
UV,A,BUV737,34947,33867,-4,5.94,899,13.88,
Yel Gr,D,PE,17463,16907,-4,2.92,402,7.22,
Yel Gr,C,PE-Texas Red,18721,17965,-5,2.81,411,9.17,
Yel Gr,B,PE-Cy5,21532,20766,-4,2.53,538,8.04,
Yel Gr,A,PE-Cy7,29138,28296,-3,3.17,626,7.4,
Detector Settings (Continued),
Laser,Detector,Parameter,Dim Bead Median Channel,Dim Bead %Robust CV,PMTV,? PMTV,Qr,Br,P/F,
Blue,FSC,FSC,26403,22.56,661,9,N/A,N/A,Pass,
Blue,C,SSC,59348,4.19,252,3,N/A,N/A,Pass,
Blue,B,FITC,34,46.51,408,2,0.1070,624,Pass,
Blue,A,PerCP-Cy5-5,154,25.67,533,2,0.0478,572,Pass,
Red,C,APC,126,24.71,527,-2,0.0657,235,Pass,
Red,B,Alexa Fluor 700,82,29.86,503,-2,0.0091,976,Pass,
Red,A,APC-Cy7,65,39.97,533,-2,0.0102,3089,Pass,
Violet,F,BV 421,38,101.44,436,0,0.0419,2621,Pass,
Violet,E,BV 510,118,33.23,466,1,0.0239,2531,Pass,
Violet,D,BV 605,185,121.55,732,5,0.1497,40,Pass,
Violet,C,BV 650,140,26.63,536,-2,0.1102,0,Pass,
Violet,B,BV 711,105,27.74,511,-3,0.5828,18,Pass,
Violet,A,BV 785,99,47.73,554,1,0.2192,14,Pass,
UV,C,BUV396,36,37.74,321,3,0.5278,0,Pass,
UV,B,BUV496,151,50.29,472,1,0.1825,859,Pass,
UV,A,BUV737,103,36.35,516,-1,0.0681,0,Pass,
Yel Gr,D,PE,94,17.71,433,-3,0.6875,29,Pass,
Yel Gr,C,PE-Texas Red,90,21.86,515,-3,0.3446,11,Pass,
Yel Gr,B,PE-Cy5,80,29.8,507,-5,0.3995,121,Pass,
Yel Gr,A,PE-Cy7,80,21.62,511,-4,0.3643,1,Pass,
Specifications,
PMTV Delta from baseline:,100 (Custom),
Blue Laser Primary Channel Bright Bead %Robust CV:,6.00 (Recommended),
Violet Laser Primary Channel Bright Bead %Robust CV:,6.00 (Recommended),
UV Laser Primary Channel Bright Bead %Robust CV:,9.00 (Recommended),
Red Laser Primary Channel Bright Bead %Robust CV:,6.00 (Recommended),
Yel Gr Laser Primary Channel Bright Bead %Robust CV:,6.00 (Recommended),
Laser Settings,
Laser,Delay (Trigger on FSC),Delay (Trigger on Fluorescence),Area Scaling Factor,
Blue,0.00,0.00,0.67,
Violet,41.47,41.79,0.68,
UV,83.89,84.09,0.67,
Red,119.83,120.09,0.57,
Yel Gr,163.89,163.97,0.42,
Window Extension:,10.00,
FSC Area Scaling Factor:,0.59,
Threshold ,
Threshold (FSC):  ,9840,
Comments,
Research Use Only,
